filename,bib_numbers,notes
_5D_0004.JPG,467;129,bib numbers are clearest on people in the foreground
_5D_0007.JPG,207;107;215;1081,Multiple bibs visible across several runners at different depths in the frame
_5D_0009.JPG,1029;1153;1151,three distinct bib numbers visible on main runners
_5D_0010.JPG,1029;1022,two legible bibs on main runners
_5D_0011.JPG,1007,bib is clearly visible on a person mid-stride to the left
_5D_0015.JPG,1016;409,bibs visible on foreground and mid-ground runners
_5D_0017.JPG,1199,visible on main subject's chest
_5D_0022.JPG,152;1143;1165,legible bibs on three foreground participants
_5D_0023.JPG,1152;1193,two clearly visible numbers on primary runners
_5D_0028.JPG,268,only one clear bib number visible among runners
_5D_0029.JPG,none,no visible race bib numbers on participants
_5D_0030.JPG,none,no legible bib numbers are visible on any person in the frame
_5D_0035.JPG,1134;1048;1161,legible bibs on main runners
_5D_0044.JPG,493;508;561,Three clear bibs visible in the central group of runners
_5D_0045.JPG,526;390,two clear bibs visible among grouped runners
_5D_0046.JPG,none,primary subject does not display a standard race bib
_5D_0047.JPG,none,main subject's vest obscures potential bib location
_5D_0048.JPG,none,"Primary subject does not wear a visible, numbered racing bib"
_5D_0051.JPG,1166;388;512;508,Multiple distinct bib numbers visible across different distances
_5D_0054.JPG,1154;376;214,Bibs visible on three runners in the foreground
_5D_0057.JPG,264;215;684,Runners visible in two separate groups under the structure
_5D_0058.JPG,407;613,Numbers visible on chest/waist area
_5D_0059.JPG,1671;484,visible bib numbers on chests of two runners
_5D_0061.JPG,560;498;506,bibs are worn by runners walking under the overpass structure
_5D_0062.JPG,none,bib numbers appear present on several runners but are illegible due to distance and focus
_5D_0064.JPG,492;506;496;508;502,Several bibs visible on chest or hips
_5D_0066.JPG,1112;4087;317;4086,visible on runners in the foreground
_5D_0068.JPG,1082;437,two clearest bibs are in the immediate foreground
_5D_0070.JPG,1092;1055,visible on front of t-shirts
_5D_0071.JPG,1083,on main subject's chest
_5D_0072.JPG,187;594,other visible bibs are obscured or illegible due to distance/angle
_5D_0079.JPG,482;607;618,
_5D_0082.JPG,1059,chest bib
_5D_0085.JPG,1157;1074,Two main bibs visible on foreground runners
_5D_0090.JPG,1019,on main subject's waist
_5D_0097.JPG,1019,
_5D_0099.JPG,none,no visible numbered race bibs on any person in the frame
_5D_0101.JPG,1118;416;598;602,Bib numbers visible on four runners at different depths/distances
_5D_0102.JPG,598;461,
_5D_0111.JPG,1096;1184;590,bib 590 is visible on an individual further back and to the right
_5D_0114.JPG,1122;1104,
_5D_0118.JPG,1052;510,Bib numbers appear to be located at the waistline or lower chest area
_5D_0119.JPG,852;561,bibs located in foreground and mid-ground
_5D_0120.JPG,1028,One foreground runner's bib is clear; other runners have unreadable distance bibs
_5D_0121.JPG,1026,only one clearly readable bib number in foreground
_5D_0124.JPG,1049,only one bib clearly visible and fully legible
_5D_0129.JPG,1125,runner in mid-ground has partially visible/illegible bib
_5D_0131.JPG,1125;1168,bibs on foreground and background runners
_5D_0133.JPG,1125,
_5D_0134.JPG,1168,visible on runner's chest
_5D_0136.JPG,486;1111,two bibs clearly visible
_5D_0139.JPG,1140;1159,
_5D_0140.JPG,1159;1106,Bib on foreground runner is white; background bib is dark
_5D_0146.JPG,113;598;217;1041,multiple legible numbers across various runners
_5D_0147.JPG,113;398;1041,bibs visible on foreground and mid-ground participants
_5D_0148.JPG,1018;6019;6018,all three visible and centered
_5D_0151.JPG,1018,"single runner, bib visible on chest"
_5D_0152.JPG,1018,pinned to lower chest
_5D_0153.JPG,186;556;1188,three main runners with clearly legible bib numbers
_5D_0154.JPG,188;593,two discernible bib numbers on separated runners in the group
_5D_0156.JPG,1188;1060,two clearly visible bibs on runners in the foreground
_5D_0158.JPG,1188;1069,both bibs clearly visible on the torso
_5D_0161.JPG,1081,bib visible on chest
_5D_0162.JPG,1081,visible on front chest
_5D_0165.JPG,1081,visible on foreground runner's chest
_5D_0166.JPG,1081,
_5D_0167.JPG,none,no legible race bib number is visible on any person
_5D_0168.JPG,none,"primary subject wearing a hoodie, no race bib visible"
_5D_0170.JPG,1131;1044,Both visible bibs are clearly displayed on the front
_5D_0171.JPG,1044,main runner bib is clear
_5D_0173.JPG,1114,attached to runner's chest
_5D_0174.JPG,1078,bib visible on chest
_5D_0177.JPG,5330;172,bib on second runner partially obscured by angle
_5D_0179.JPG,1047;1129,
_5D_0180.JPG,1047;1129,Two clear bibs on main subjects
_5D_0181.JPG,1047;901,Primary bibs visible on foreground subjects
_5D_0182.JPG,1047;608;591,three distinct numbered bibs visible
_5D_0184.JPG,1091,only the foreground runner's bib is clearly legible
_5D_0185.JPG,931,main subject has clear hip-level bib
_5D_0187.JPG,1022;1137,clear visibility on two foreground subjects
_5D_0189.JPG,1053;489,two bibs clearly visible in the foreground group
_5D_0191.JPG,1053;1181;2007;1007,Bibs located on chest and waist area of foreground runners
_5D_0194.JPG,1155;1185;1829;1812,all primary bibs clearly visible on chest/waist
_5D_0195.JPG,1029;1012,main subjects in foreground and middle ground
_5D_0198.JPG,1138;5830,The other visible runners are too distant or obscured to read legible bib numbers
_5D_0200.JPG,1013,bib located on shorts/waistband
_5D_0206.JPG,580;174;1875;812;512,five distinct bib numbers are clearly visible on the runners
_5D_0207.JPG,178;405;1075;103,All visible bibs are pinned to the torso or waist
_5D_0208.JPG,40;1873;590,Three clear bib numbers visible on runners in the foreground
_5D_0211.JPG,1089,visible on runner's waistband
_5D_0212.JPG,1124,visible on main runner's chest
_5D_0213.JPG,1124,
_5D_0217.JPG,1124,race bib on runner's chest
_5D_0218.JPG,1124,Bib clearly visible on runner's chest
_5D_0227.JPG,1085;506,multiple runners present; one bib partially obscured
_5D_0228.JPG,1085,bib on foreground runner
_5D_0229.JPG,1010;452,"two primary legible bibs, one additional runner with an obscured bib visible in mid-ground"
_5D_0230.JPG,480;482,two bib numbers are clearly legible
_5D_0237.JPG,1153;1151;1170,several numbered participants near the curb on the left side
_5D_0238.JPG,1194;1170,Two clear bibs visible on the main group in the foreground
_5D_0239.JPG,1031;526;108;609,four visible runners with distinct bibs
_5D_0240.JPG,48;530;698,numbered bibs visible on three foreground runners
_5D_0241.JPG,405,number clearly visible on the main runner's chest
_5D_0245.JPG,1893;1130,race bibs visible on chest/waist area
_5D_0250.JPG,1130;1082,main subject's bib includes event text below the number
_5D_0251.JPG,1130,main runner's chest bib
_5D_0252.JPG,1002,bib visible on chest
_5D_0255.JPG,none,bib visible on subject's chest but numbers are unreadable
_5D_0256.JPG,none,
_5D_0257.JPG,none,
_5D_0261.JPG,143,main runner's bib visible
_5D_0263.JPG,1143,primary bib number is clearly visible on foreground runner
_5D_0264.JPG,390;578;3120;2985,numbers legible but varied in clarity
_5D_0266.JPG,1189;1165;1183,"Several runners wear the same numbers (e.g., 1165, 1183)"
_5D_0267.JPG,584;1167;1165;1164,Multiple visible bibs across different depths of the race field
_5D_0268.JPG,1103;684,Foreground runners' bibs
_5D_0270.JPG,1057;1106;1239,Three distinct bib numbers visible across the frame
_5D_0272.JPG,1017;916;590;418;572;380,bibs visible across the group of runners
_5D_0275.JPG,1017;596;1136;602,Multiple bibs visible across various distances and groups of people
_5D_0278.JPG,1193;1192,bibs visible on chest and waist area
_5D_0280.JPG,1193;1192,
_5D_0281.JPG,1193;1192,bibs visible on chests and waist
_5D_0284.JPG,1027;1028,numbers are clearly visible on the main runners
_5D_0290.JPG,1096;1077,two bib numbers clearly visible on the lead runners
_5D_0291.JPG,1197,foreground runner only
_5D_0292.JPG,1197;608,a bib on the man in the mid-ground is present but illegible
